artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Ed Sheeran,x (Deluxe Edition),Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,0.781,0.445,2,-6.061,1,0.0295,0.0,0.184,0.591,78.998,281560,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Keane,Somewhere Only We Know (Enhanced),Somewhere Only We Know,0VxFKXvKLjYWU7oPPMwzuN,0.457,0.646,9,-5.24,1,0.0257,1.5e-06,0.0854,0.389,172.257,236360,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Coldplay,Ghost Stories,Ink,6c6W25YoDGjTq3qSPOga5t,0.688,0.705,6,-7.311,1,0.0323,0.124,0.118,0.696,112.019,228373,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Coldplay,Ghost Stories,True Love,0fQuzbQNLcD1ofo7B2NcFI,0.482,0.573,11,-7.966,1,0.028,0.077,0.123,0.184,119.991,246000,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Coldplay,Ghost Stories,O,77yuzxCS3csrgTPSW0pvyk,0.371,0.216,10,-14.727,1,0.0358,0.826,0.0934,0.0645,136.998,323480,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Owl City,Ocean Eyes,Vanilla Twilight,6NpfWGzDIx3LVf2yaWQRcX,0.582,0.529,11,-7.637,1,0.0248,0.000554,0.113,0.567,166.134,231707,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
John Mayer,Battle Studies,"Friends, Lovers or Nothing",1wkaoS4jTVXYMUWHKVFZTk,0.526,0.672,9,-7.89,1,0.029,0.014,0.133,0.388,134.332,359240,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
John Mayer,Paradise Valley,Dear Marie,5Aq5TIy9jVK70aL7xcE9oa,0.601,0.36,9,-10.909,1,0.0262,0.437,0.0883,0.494,94.999,222720,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
John Mayer,Paradise Valley,Who You Love (feat. Katy Perry),7IByJvSqRFltGyiiIiL4wn,0.694,0.351,9,-10.92,1,0.0382,0.00165,0.097,0.691,145.907,249933,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Maroon 5,Songs About Jane,Sunday Morning,4T5cqerbDXueYSVfXkIITo,0.604,0.761,0,-5.227,1,0.0468,0.0,0.062,0.787,88.04,244867,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
John Mayer,Continuum,The Heart Of Life,6gz0WaHbVFlTkHklQpOtyR,0.496,0.238,1,-11.026,1,0.0301,0.0109,0.0875,0.349,175.96,198200,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Family of the Year,Loma Vista,Hero,6GRDI9suQHikFP6euIXnpq,0.341,0.539,5,-5.76,1,0.0265,6.44e-05,0.109,0.267,174.564,190280,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
The Lumineers,The Lumineers,Ho Hey,1jdNcAD8Ir58RlsdGjJJdx,0.685,0.474,0,-9.105,1,0.0313,1.23e-06,0.149,0.36,79.991,161227,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Green Day,American Idiot,Wake Me up When September Ends,3ZffCQKLFLUvYM59XKLbVm,0.546,0.814,7,-5.146,1,0.0314,0.0,0.0972,0.146,104.98,285653,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Led Zeppelin,Led Zeppelin IV,Stairway to Heaven - 1990 Remaster,51pQ7vY7WXzxskwloaeqyj,0.346,0.335,7,-12.453,1,0.0339,0.00674,0.185,0.213,84.204,478173,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Justin Bieber,Home To Mama,Home To Mama,4HZujMI13c3T4oaYyqyjcE,0.716,0.302,2,-11.119,1,0.0683,0.000147,0.118,0.492,90.004,203267,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Ellie Goulding,"Love Me Like You Do (From ""Fifty Shades Of Grey"")","Love Me Like You Do - From ""Fifty Shades Of Grey""",7y2YUIyCuVhBidENVT0068,0.258,0.631,5,-6.617,0,0.0541,0.0,0.127,0.266,189.583,252539,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Coldplay,Ghost Stories,Magic,23khhseCLQqVMCIT1WMAns,0.738,0.482,6,-8.917,0,0.0402,0.621,0.106,0.352,93.457,285014,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Coldplay,Ghost Stories,Midnight,4GKk1uNzpxIptBuaY97Dkj,0.548,0.475,1,-12.42,1,0.0355,0.808,0.0944,0.0349,126.974,294667,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Coldplay,Ghost Stories,Another's Arms,22uzF19LxQW87kOVkR79Fq,0.516,0.572,8,-9.037,1,0.0291,0.254,0.139,0.351,160.023,234413,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Coldplay,Ghost Stories,Oceans,2u4uhtETtcULnkBfFHSnDX,0.194,0.132,11,-15.783,1,0.0349,0.181,0.159,0.04,74.845,321680,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Coldplay,Ghost Stories,A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ,0.545,0.675,6,-6.474,1,0.0279,0.00197,0.209,0.162,124.97,267867,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Owl City,Maybe I'm Dreaming,The Saltwater Room,7nNWroSfiy00CppuRzqJd5,0.694,0.59,0,-8.795,1,0.0278,0.000257,0.0948,0.681,111.965,295640,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Maroon 5,Songs About Jane,She Will Be Loved,5s5t0OFg9lIlBFaCI14K1i,0.524,0.711,0,-5.494,0,0.0405,0.0,0.134,0.539,203.867,257133,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Coldplay,Mylo Xyloto,Charlie Brown,1yqMgZNrevsWMLWfO2PRp5,0.43,0.74,10,-7.072,1,0.0375,0.00165,0.33,0.0948,137.978,285160,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Coldplay,X&Y,Talk,4wzt5Rrk3W98pHXAqutuJw,0.415,0.554,7,-10.839,0,0.0334,0.00202,0.155,0.163,120.318,311292,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
