artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Nathan-Paul,I LOVE BLACK WOMEN,I LOVE BLACK WOMEN,0kUdHd3S9GZsmFxNrBqp2w,0.581,0.775,8,-6.05,0,0.049,0.856,0.121,0.827,93.96,155106,4,Spotify,Best Jazz Songs of 2022,Public I
Avishai Cohen,Shifting Sands,Below,4uS12ibCJvo83kxACQgC3e,0.41,0.266,1,-20.835,1,0.036,0.853,0.11,0.389,144.061,270778,4,Spotify,Best Jazz Songs of 2022,Public I
Charlie Peacock,Blue For You,Blue For You,2NE3hVkSulF5bTKa1uhJjV,0.324,0.677,10,-10.752,1,0.0432,0.0131,0.151,0.4,157.349,450695,3,Spotify,Best Jazz Songs of 2022,Public I
daniel hayn,Cryogen,Cryogen,0UwQljCILorlIvAh4KqOzd,0.425,0.936,11,-9.479,0,0.047,0.826,0.106,0.326,117.813,202633,4,Spotify,Best Jazz Songs of 2022,Public I
H ZETTRIO,Network of 3,Network of 3,6XSEJN0k4yL6z0bGJ1s4Fx,0.446,0.716,2,-8.891,0,0.0336,0.651,0.11,0.487,157.041,255000,4,Spotify,Best Jazz Songs of 2022,Public I
Walter Smith III,In Common III,Hornets,79gj6Q29XQvrAzW5p3g4Bl,0.528,0.425,6,-7.959,1,0.0337,0.706,0.329,0.301,164.714,226570,4,Spotify,Best Jazz Songs of 2022,Public I
Terence Etc.,In Contemplation of Clair’s Scent,In Contemplation of Clair’s Scent - Edit,6evizKGLv223qG5hpReBWy,0.437,0.623,7,-10.725,1,0.0592,0.00508,0.107,0.513,112.082,170109,4,Spotify,Best Jazz Songs of 2022,Public I
cktrl,yield,yield,6MyPzGgsio8bnZZsb5ueyI,0.243,0.106,2,-14.581,1,0.0529,0.138,0.109,0.0509,166.386,319210,3,Spotify,Best Jazz Songs of 2022,Public I
Luke Smith,The Resurrection,The Resurrection,1F39hjm8I9oxamHT3RmQJ2,0.728,0.469,5,-11.324,0,0.0855,0.0435,0.0895,0.651,88.017,243227,4,Spotify,Best Jazz Songs of 2022,Public I
Katalyst,Katalyst JID013,Reflections,1w8R8ktBN372wpT5UOCZzT,0.372,0.746,1,-7.493,1,0.0526,0.0462,0.0997,0.533,94.131,422499,4,Spotify,Best Jazz Songs of 2022,Public I
Marcus Strickland Twi-Life,Dust Ball Fantasy (feat. Lionel Loueke),Dust Ball Fantasy (feat. Lionel Loueke),1R3OT4zUhA9p8erPorBcPD,0.42,0.635,4,-9.558,0,0.12,0.34,0.395,0.636,95.952,327774,3,Spotify,Best Jazz Songs of 2022,Public I
Rikard From,Sun of June,Sun of June,4rIDC72fAd26dB4U9pCAGa,0.828,0.251,0,-16.778,1,0.0465,0.893,0.0944,0.79,99.981,225600,4,Spotify,Best Jazz Songs of 2022,Public I
Little North,What Happens Next?,What Happens Next?,55sg7XJ6nyfOv1VM1OHdHD,0.324,0.284,0,-19.674,0,0.0327,0.876,0.12,0.17,102.037,277000,4,Spotify,Best Jazz Songs of 2022,Public I
Nine Sparks Riots,Arrows,Arrows,19JudMh7z6HFLiXKAUK5K7,0.577,0.388,1,-11.812,1,0.145,0.819,0.103,0.652,139.249,234737,4,Spotify,Best Jazz Songs of 2022,Public I
Daylight Robbery!,Moons of Jupiter,Ersa,4twURyv1xrqjT9RILugLb3,0.459,0.593,10,-11.922,1,0.0718,0.918,0.113,0.187,112.898,227227,5,Spotify,Best Jazz Songs of 2022,Public I
Jean Carn,Jean Carne JID012,Black Love,4VwYeANX0aXiCqGGkI4SAx,0.368,0.743,0,-6.307,1,0.0462,0.00185,0.226,0.566,99.363,236213,3,Spotify,Best Jazz Songs of 2022,Public I
Yellowjackets,Parallel Motion,Resilience,4l6LEkiXfyZCNVyb9rS6Rg,0.691,0.462,4,-10.54,0,0.0342,0.781,0.11,0.421,106.585,302160,4,Spotify,Best Jazz Songs of 2022,Public I
Gilad Hekselman,Far Star,Long Way From Home (feat. Eric Harland),4LvTgaYf1iMvkBPh9YMK54,0.395,0.6,10,-9.393,0,0.0742,0.291,0.157,0.377,97.058,317347,3,Spotify,Best Jazz Songs of 2022,Public I
Jasmine Myra,Horizons,Words Left Unspoken,2b7mhgBdpvDCLYGK8nRfMX,0.534,0.231,1,-15.927,0,0.0303,0.895,0.0988,0.341,114.991,400800,5,Spotify,Best Jazz Songs of 2022,Public I
