artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Morgan Wallen,If I Know Me,Chasin' You,5MwynWK9s4hlyKHqhkNn4A,0.631,0.591,7,-5.785,1,0.0277,0,0.11,0.489,97.074,205453,4,Ctomko3,country,Cameron Tomko
Jon Pardi,Heartache Medication,Heartache Medication,6ZvAXIWw3rw8WR0Xlmifri,0.621,0.791,9,-3.343,1,0.0265,0,0.143,0.734,95.075,209110,4,Ctomko3,country,Cameron Tomko
Dustin Lynch,Tullahoma,Ridin’ Roads,2VPmBOuy7ZAOFSzKwW2IEt,0.547,0.817,9,-4.255,1,0.0448,0,0.136,0.592,142.118,205427,4,Ctomko3,country,Cameron Tomko
Morgan Wallen,More Than My Hometown,More Than My Hometown,6FniJZn4agmDtPx1pKZQsa,0.621,0.882,6,-5.01,1,0.0459,0,0.132,0.574,126.014,216573,4,Ctomko3,country,Cameron Tomko
Keith Urban,Greatest Hits,You'll Think Of Me - Single Version,0lZxd99ZIjA0zUdQAY3FXr,0.55,0.543,2,-8.395,1,0.0408,0,0.0927,0.562,82.761,231293,4,Ctomko3,country,Cameron Tomko
Jon Pardi,California Sunrise,Night Shift,0bPnT6i9H1p8Vd85GS6Z7I,0.63,0.754,2,-3.564,1,0.0284,0,0.268,0.73,95.999,172253,4,Ctomko3,country,Cameron Tomko
Thomas Rhett,Life Changes,Sixteen,3pJkBPHadRAxBBo484RipI,0.705,0.531,1,-7.031,1,0.0281,2.11e-06,0.165,0.425,107.013,178333,4,Ctomko3,country,Cameron Tomko
Blake Shelton,Based on a True Story... (Deluxe Edition),Boys 'Round Here (feat. Pistol Annies & Friends),39FwE8edwuyiaa4PrGBkP7,0.611,0.688,2,-6.369,1,0.0529,2.35e-06,0.248,0.649,169.895,288760,4,Ctomko3,country,Cameron Tomko
Morgan Wallen,If I Know Me,The Way I Talk,21LRaD9rB3v7p7DDCZsW4y,0.604,0.879,4,-3.388,1,0.0322,0,0.0909,0.757,137.983,208280,4,Ctomko3,country,Cameron Tomko
Parmalee,Just the Way,Just the Way,5PAvFGse5jjDH9ke8Mae7D,0.544,0.829,9,-2.84,1,0.0404,0,0.317,0.815,90.048,193880,4,Ctomko3,country,Cameron Tomko
Chris Lane,Laps Around The Sun,I Don't Know About You,3yOs8FffuG6hPbzQG9lIqV,0.593,0.81,1,-5.733,1,0.0625,0,0.119,0.712,144.011,207933,4,Ctomko3,country,Cameron Tomko
Rodney Atkins,Caught Up In The Country,Caught Up In The Country,4aGG4VOWGv9RwlYQNsBrkE,0.603,0.807,7,-6.999,1,0.045,0,0.539,0.685,124.099,160991,4,Ctomko3,country,Cameron Tomko
Cole Swindell,You Should Be Here,Middle of a Memory,38gZVjeaeR3gcnCzziAxBm,0.531,0.746,11,-4.228,1,0.0329,0,0.102,0.304,139.788,226307,4,Ctomko3,country,Cameron Tomko
Morgan Wallen,This Bar,This Bar,7oSq5fbsFkTS9zeJQwMihf,0.545,0.884,2,-5.208,1,0.0817,0.000424,0.0496,0.272,110.015,185733,4,Ctomko3,country,Cameron Tomko
Morgan Wallen,7 Summers,7 Summers,0Z0kNthq0sS4lvGz9SSlBF,0.625,0.775,0,-5.199,1,0.0248,5.23e-05,0.12,0.588,101.961,210123,4,Ctomko3,country,Cameron Tomko
Mitchell Tenpenny,Telling All My Secrets,Drunk Me,1G4cdOtF36ZCs6i2dZoC87,0.499,0.797,2,-3.77,1,0.0554,0,0.0933,0.408,176.024,211768,4,Ctomko3,country,Cameron Tomko
Scotty McCreery,Seasons Change,This Is It,74CEfiZthUGX5yUNNUM4bj,0.579,0.511,8,-6.788,1,0.0293,0,0.099,0.594,78.003,230973,4,Ctomko3,country,Cameron Tomko
Dierks Bentley,The Mountain,Burning Man,4a1oIihVt6xSnDRpgX387M,0.609,0.807,5,-7.221,1,0.0972,5.42e-06,0.0926,0.492,119.073,238493,4,Ctomko3,country,Cameron Tomko
Riley Green,Different 'Round Here,There Was This Girl,7grWGhX8SHNmyGOkMNVMCt,0.616,0.877,1,-4.223,1,0.0347,2.56e-06,0.114,0.94,127.981,194427,4,Ctomko3,country,Cameron Tomko
Chris Lane,Laps Around The Sun,Take Back Home Girl (feat. Tori Kelly),0N9uZRrJQ3lO5TmInEjLxc,0.493,0.796,11,-3.971,1,0.0691,0,0.0957,0.644,159.988,212107,4,Ctomko3,country,Cameron Tomko
Scotty McCreery,Five More Minutes,Five More Minutes,66IULVOTImQG2u0cJ3Ls04,0.517,0.652,7,-6.153,1,0.0323,0,0.109,0.333,156.07,238954,4,Ctomko3,country,Cameron Tomko
