artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Ayelle,Right Now,Right Now,2cXOqys4hyhCdwy4qp6hYD,0.482,0.447,2,-8.312,1,0.14,0.0,0.109,0.222,145.743,239178,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Jhené Aiko,Bed Peace,Bed Peace,314RZbyTm14OCPTjSqSjiO,0.523,0.566,6,-7.78,1,0.0655,3.56e-05,0.115,0.275,120.029,256613,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Gallant,Cave Me In,Cave Me In,79ptYtWnpAnsQutzg2xSFk,0.689,0.512,1,-6.206,1,0.0509,2.07e-06,0.106,0.619,90.091,214159,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Logic,Bobby Tarantino,44 Bars,4s2BWgnSQ9NZiOQM4PP4HB,0.728,0.628,6,-8.83,0,0.319,0.0,0.198,0.313,94.128,182267,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Miguel,Kaleidoscope Dream,Where's the Fun in Forever,1qDe5CRWjbSqnYLwWbr8pC,0.691,0.758,2,-5.661,1,0.0972,0.00629,0.631,0.658,79.016,209867,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
LION BABE,Begin,Treat Me Like Fire,3XRosKfSgFSDIb6YVpApIl,0.671,0.65,6,-7.687,1,0.0665,0.0057,0.6,0.323,91.961,250707,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Childish Gambino,Kauai,Sober,6olUplztLFFfU7fMYmFXOP,0.699,0.601,0,-6.48,1,0.0304,1.17e-05,0.562,0.434,98.04,252013,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
The Marías,"Superclean, Vol. I",Basta Ya,4CUTUsBGjHslu2Bd3AOXGg,0.766,0.3,11,-8.911,0,0.0375,0.00174,0.114,0.44,85.993,176599,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
The Weeknd,Starboy,Die For You,1zF69Xru3AToRB87kAKqra,0.587,0.514,1,-7.182,0,0.0763,0.0,0.147,0.486,133.881,260253,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Childish Gambino,Kauai,The Palisades,1Xi28qSSoARTXiqMwb8Srg,0.738,0.718,8,-5.905,1,0.0606,0.0,0.127,0.491,100.055,190907,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Logic,The Incredible True Story,City Of Stars,5mJbSgVBnJ4ayOjFdmyOdl,0.464,0.873,0,-5.793,1,0.135,0.0245,0.225,0.607,90.137,376640,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
NIKI,Chilly,Chilly,6H3TW6uEe3RxW8CcnXJfq2,0.734,0.271,7,-11.932,1,0.382,5.27e-06,0.101,0.237,103.241,230000,3,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Frank Ocean,Blonde,Nights,4Jle0Cjj88YkM7jbAjiFjf,0.457,0.553,5,-9.345,0,0.162,1.22e-06,0.113,0.448,89.905,307151,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
UMI,Love Language,Love Affair,4ZaRg5Sf4TKr0YcFRLh7QJ,0.613,0.488,8,-7.37,1,0.0964,2.13e-05,0.335,0.183,172.076,190960,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Kendrick Lamar,To Pimp A Butterfly,Complexion (A Zulu Love),72hFOhhhnOJZnnp6uVOgPn,0.665,0.558,2,-7.863,0,0.303,4.57e-06,0.219,0.37,89.953,263360,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Logic,Bobby Tarantino II,Indica Badu,0jqBo5RYn008f4ZY8kPewW,0.742,0.72,0,-2.876,1,0.116,0.000846,0.0839,0.97,77.011,260320,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Gallant,Ology,Skipping Stones (feat. Jhené Aiko),6ueI5IGjsFhfCZIFZ5CI9s,0.584,0.537,9,-5.646,1,0.0344,0.000189,0.397,0.4,79.982,184147,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Gallant,Sweet Insomnia,Céline,7qOlu9FO9p9gphX8hMnO7a,0.655,0.53,9,-6.821,1,0.0755,0.0,0.145,0.675,120.172,205120,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Logic,The Incredible True Story,Innermission,1zucHJN4WKHIzSL4FyiJw9,0.741,0.759,8,-4.387,1,0.21,0.0,0.103,0.49,95.101,240053,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
"Tyler, The Creator",Flower Boy,November,4XDpeWqPADoWRKcUY3dC84,0.547,0.759,1,-7.039,0,0.413,2.15e-05,0.676,0.575,91.85,225347,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Melanie Faye,Eternally 12,Eternally 12,6mEP1cofyVXsJ9oDAeaRIt,0.713,0.387,8,-15.257,0,0.0356,0.442,0.0732,0.539,129.908,241603,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
"Tyler, The Creator",CALL ME IF YOU GET LOST,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),3EG9FJ0ToLfgnc1IG2Z1wz,0.468,0.652,0,-4.912,1,0.0722,0.000318,0.55,0.39,140.223,588139,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Frank Ocean,channel ORANGE,Pyramids,4QhWbupniDd44EDtnh2bFJ,0.4,0.65,5,-6.104,0,0.0466,7.62e-05,0.791,0.15,107.989,592920,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Daniel Caesar,Pilgrim's Paradise,Paradise (feat. Badbadnotgood & Sean Leon),5bPZPEsUACrQXER6FcMs7F,0.437,0.792,8,-6.792,1,0.0354,1.46e-06,0.22,0.402,83.961,266470,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Jhené Aiko,Souled Out (Deluxe),Blue Dream,4Y8MG7qcAMk7JB7Eebpcvu,0.586,0.404,9,-11.94,0,0.0494,0.165,0.0821,0.369,133.901,217027,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Kehlani,You Should Be Here,Bright,0oz4ZqHuUaz3uEkP2vD0u8,0.446,0.435,9,-5.874,1,0.107,0.0,0.107,0.232,50.176,257179,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Kendrick Lamar,DAMN.,FEEL.,2LTlO3NuNVN70lp2ZbVswF,0.746,0.798,0,-8.382,1,0.349,0.0,0.139,0.553,109.968,214827,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
The Weeknd,Starboy,True Colors,1oGdVdYjeQvojGKDddxLQQ,0.624,0.424,1,-8.237,1,0.24,0.0,0.173,0.584,76.671,206013,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Alina Baraz,Electric (feat. Khalid),Electric (feat. Khalid),25wBlLDFcspzo9gBqvrQr3,0.637,0.359,10,-9.841,0,0.0325,5.39e-05,0.108,0.142,111.049,245294,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
