artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Maeta,Habits,Bitch Don't Be Mad,24WhLBcWByvFMrt8NNQ0ax,0.559,0.593,4,-5.443,0,0.294,0.0,0.0463,0.585,70.987,185199,4,Spotify,Indie R&B Mix,Gary the Snail
VanJess,Silk Canvas,Another Lover,2KwW2VyIp48UXatX8S2TuL,0.774,0.524,5,-7.412,0,0.374,0.000919,0.116,0.329,120.05,228000,4,Spotify,Indie R&B Mix,Gary the Snail
Cruza,Dog Daze,Brewster,5odIVMTBVr7QetfpLY1fPV,0.638,0.253,4,-10.232,1,0.302,0.576,0.12,0.537,145.05,144585,4,Spotify,Indie R&B Mix,Gary the Snail
Emmavie,OOPS,OOPS,69tpm46QnpzuiqqPVw0Nai,0.671,0.558,7,-7.376,0,0.106,0.000941,0.082,0.565,125.065,221634,4,Spotify,Indie R&B Mix,Gary the Snail
Cautious Clay,RESONANCE,Crowned,40hilC332kLOwCzOVhWhl5,0.816,0.554,11,-5.472,0,0.0359,0.000489,0.138,0.946,130.019,186000,4,Spotify,Indie R&B Mix,Gary the Snail
Flwr Chyld,Iridescent Luv,Feel The Breeze,0jZJ2Ok8WBEFClOmSObY74,0.532,0.557,8,-9.882,0,0.406,0.0,0.0805,0.863,86.578,171083,4,Spotify,Indie R&B Mix,Gary the Snail
RIMON,Digital Tears,20/20,0lfaFmtE9jC839BoF2fmBA,0.545,0.472,2,-7.968,1,0.043,0.0145,0.406,0.279,87.898,320065,4,Spotify,Indie R&B Mix,Gary the Snail
Leven Kali,EVERYTHING I WANT,EVERYTHING I WANT,7xaVK8LCtFkig2HKTrukwg,0.714,0.463,0,-9.172,0,0.114,1.89e-05,0.101,0.777,111.016,139272,4,Spotify,Indie R&B Mix,Gary the Snail
Rayana Jay,Love Me Like,Breakfast in Bed,0iI2cOHpX6xmwKD15Q5ynd,0.635,0.327,2,-9.77,1,0.436,0.0,0.0865,0.552,82.686,116059,4,Spotify,Indie R&B Mix,Gary the Snail
Planet Giza,Don't Throw Rocks At The Moon,Start Over,7DvlNrYFvmZieL8GdhJuoy,0.627,0.489,7,-9.838,1,0.298,0.0,0.0823,0.842,81.475,130370,4,Spotify,Indie R&B Mix,Gary the Snail
Jaz Karis,Into The Wilderness,Sunrise,13wFVAARUIISatryZRh745,0.551,0.291,8,-12.432,0,0.139,0.0,0.278,0.413,123.035,167241,4,Spotify,Indie R&B Mix,Gary the Snail
Brandon Banks,Caught Up,Gold,0TRy31cJbNFIKjnMhbp9yM,0.708,0.691,7,-5.894,1,0.0817,1.56e-06,0.107,0.206,100.993,170252,4,Spotify,Indie R&B Mix,Gary the Snail
Mereba,AZEB - EP,Rider,7BUnSvQPU5m830Et7fLAZt,0.588,0.448,5,-11.497,0,0.0545,0.567,0.0931,0.547,94.701,165187,4,Spotify,Indie R&B Mix,Gary the Snail
Syd,Always Never Home,Bad Dream/No Looking Back,7x7QlOg9xTzRHkSW5mf1HY,0.668,0.253,2,-14.872,0,0.0564,0.308,0.119,0.142,98.512,294853,4,Spotify,Indie R&B Mix,Gary the Snail
Berhana,Berhana,Janet,3ml3WB66sqG4kXoPBX2POA,0.81,0.308,0,-8.194,1,0.0818,0.0,0.0899,0.56,120.012,204000,4,Spotify,Indie R&B Mix,Gary the Snail
Devin Tracy,nlm,nlm,5X7dYtHtFSS2jWvShqkgt5,0.709,0.582,6,-4.677,0,0.375,0.00176,0.0597,0.642,76.032,164210,4,Spotify,Indie R&B Mix,Gary the Snail
Kadeem Tyrell,As Time Goes By,Simple Man,4Rrwy6JHSxAIabJZSRWM8l,0.481,0.399,11,-10.264,0,0.295,6.22e-06,0.11,0.48,80.03,222040,4,Spotify,Indie R&B Mix,Gary the Snail
IYAMAH,Truth EP. 2,KYWK,3TF88ctEjrExw40EZ1kSMA,0.574,0.506,9,-6.835,0,0.336,0.0,0.105,0.162,76.857,167368,4,Spotify,Indie R&B Mix,Gary the Snail
Bathe,Bicoastal,Sundress,2PVIOPgiTf6w6RlEJxQdkg,0.651,0.628,9,-7.969,0,0.0329,0.0602,0.303,0.373,131.984,199187,4,Spotify,Indie R&B Mix,Gary the Snail
Rayana Jay,it's you,it's you,7zY6aqGbvzyXSSQ4zNl0xU,0.711,0.516,11,-12.476,0,0.0597,0.0101,0.11,0.241,135.963,161471,4,Spotify,Indie R&B Mix,Gary the Snail
Latanya Alberto,The Royal Escape,Hold On,2G69Y6ZJgrhUdcY9TvD1Lc,0.657,0.678,3,-7.854,0,0.068,0.0172,0.333,0.584,91.897,251087,4,Spotify,Indie R&B Mix,Gary the Snail
Kennedy Rd.,Waves Of Love - Vol 1,Waves Of Love,7FKHOjtCDh4kv3npLlqx3e,0.406,0.418,7,-11.252,0,0.0991,0.0662,0.175,0.216,119.312,165000,4,Spotify,Indie R&B Mix,Gary the Snail
Ragz Originale,WOAH,OG lullaby,0H9S6FYmM28Az9pCwLNUsk,0.654,0.581,11,-7.922,0,0.0803,0.000328,0.143,0.297,94.949,136560,4,Spotify,Indie R&B Mix,Gary the Snail
