playlist_name,playlist_link,user,danceability_var,danceability_mean,danceability_max,danceability_min,energy_var,energy_mean,energy_max,energy_min,key_var,key_mean,key_max,key_min,loudness_var,loudness_mean,loudness_max,loudness_min,mode_var,mode_mean,mode_max,mode_min,speechiness_var,speechiness_mean,speechiness_max,speechiness_min,instrumentalness_var,instrumentalness_mean,instrumentalness_max,instrumentalness_min,liveness_var,liveness_mean,liveness_max,liveness_min,valence_var,valence_mean,valence_max,valence_min,tempo_var,tempo_mean,tempo_max,tempo_min,duration_ms_var,duration_ms_mean,duration_ms_max,duration_ms_min,time_signature_var,time_signature_mean,time_signature_max,time_signature_min
La Lista Pop,https://open.spotify.com/playlist/37i9dQZF1DWSpF87bP6JSF?si=c1965577ea2e4e31,Public 2,0.012750534,0.73042,0.919,0.429,0.015828439,0.66964,0.899,0.34,13.48612245,5.06,11,0,2.30330479,-4.88616,-2.778,-8.858,0.240408163,0.62,1,0,0.009020548,0.100582,0.436,0.0293,6.48E-05,0.002047166,0.0446,0,0.011945872,0.158074,0.528,0.0429,0.044869982,0.60024,0.966,0.156,868.9872108,119.5031,183.944,79.928,1576420032,195126.78,321556,112572,0.040816327,4,5,3
Éxitos USA,https://open.spotify.com/playlist/37i9dQZF1DX4oUPBOaEkL6?si=b0e6c5b67ef64c47,Public 2,0.01644698,0.7536,0.951,0.407,0.015259198,0.69516,0.878,0.441,13.36163265,5.16,11,0,3.335662459,-5.1281,-0.722,-10.149,0.253469388,0.54,1,0,0.010626244,0.113586,0.448,0.0253,0.002938537,0.010226727,0.382,0,0.015963702,0.164312,0.693,0.0555,0.0430086,0.578926,0.947,0.0953,781.1493867,118.76224,196.12,51.66,979089009.7,195767.76,254920,109120,0.039183673,3.96,4,3
Pop Punk Powerhouses,https://open.spotify.com/playlist/37i9dQZF1DXa9wYJr1oMFq?si=ebe3531d3ce4448c,Public 3,0.013230842,0.48312,0.766,0.21,0.003755837,0.9022,0.986,0.717,13.88938776,5.22,11,0,1.967610908,-4.09148,-1.946,-9.07,0.150612245,0.82,1,0,0.002207602,0.076894,0.26,0.0318,0.004695616,0.011999686,0.47,0,0.014910667,0.17017,0.573,0.0385,0.037109762,0.63956,0.964,0.255,1152.948053,144.7334,196.505,85.064,679163696.5,190855.48,258000,134467,0,4,4,4
Today's Top Hits,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M?si=4059f70e057249f5,Public 3,0.025102885,0.66182,0.95,0.247,0.025951334,0.62918,0.965,0.192,13.66571429,5.26,11,0,4.155875244,-6.25602,-2.653,-12.151,0.228979592,0.66,1,0,0.005721385,0.079814,0.34,0.0283,0.00751484,0.019143628,0.585,0,0.013233734,0.18182,0.447,0.0546,0.071618479,0.510362,0.972,0.0385,644.9288209,128.07694,177.115,81.552,1126832139,184850.9,247067,97393,0.107755102,3.88,4,3
Hot Hits USA,https://open.spotify.com/playlist/37i9dQZF1DX0kbJZpiYdZl?si=c135621d14e644c7,Public 3,0.026380632,0.67002,0.95,0.247,0.027774663,0.6013,0.965,0.192,14.24489796,5,11,0,4.975757912,-6.50108,-2.653,-12.661,0.244897959,0.6,1,0,0.008990997,0.095512,0.455,0.0275,0.008625145,0.019372404,0.631,0,0.011825389,0.17525,0.443,0.0546,0.058772812,0.48133,0.912,0.0385,696.8176228,126.23398,177.115,79.001,1265322451,188010.34,260253,99283,0.132653061,3.9,5,3
sad hour,https://open.spotify.com/playlist/37i9dQZF1DWSqBruwoIXkA?si=bd3b353c64ce432f,Public 3,0.013523713,0.51338,0.749,0.286,0.023573087,0.386325,0.762,0.0847,11,4.5,11,0,7.031971951,-8.97622,-3.518,-17.374,0.135757576,0.84,1,0,0.005688598,0.058403,0.611,0.0261,0.007335199,0.014302476,0.804,0,0.007861795,0.145027,0.641,0.0559,0.020464805,0.280636,0.716,0.0592,951.0549737,119.48844,183.441,66.165,3190402207,208173.44,613027,127293,0.182222222,3.86,5,3
teen beats,https://open.spotify.com/playlist/37i9dQZF1DWWvvyNmW9V9a?si=56ec03c361fa4b91,Public 3,0.01839466,0.61213,0.952,0.228,0.037334732,0.60543,0.982,0.109,11.83626263,5.61,11,0,8.181497358,-7.24134,-1.948,-15.854,0.237979798,0.62,1,0,0.004374997,0.071726,0.39,0.0254,0.001176027,0.009548987,0.2,0,0.020886089,0.19907,0.741,0.0656,0.047296859,0.4627,0.964,0.119,743.5634571,130.87644,202.899,59.019,1675262518,184046.13,292613,99283,0.195050505,3.87,5,1
Emo Forever,https://open.spotify.com/playlist/37i9dQZF1DX9wa6XirBPv8?si=bb6f5f85c233477c,Public 4,0.014577732,0.457413333,0.686,0.15,0.005248405,0.8762,0.976,0.536,11.62810811,5.44,11,0,2.464499143,-4.524213333,-2.189,-11.906,0.233513514,0.64,1,0,0.001758228,0.073649333,0.265,0.0279,0.001153979,0.007042246,0.194,0,0.02578334,0.215781333,0.806,0.0327,0.037578832,0.494254667,0.903,0.0857,985.4503489,139.85684,202.012,78.318,1201417831,216468.88,374973,149640,0.04036036,3.986666667,5,3
Ultimate Indie,https://open.spotify.com/playlist/37i9dQZF1DX2Nc3B70tvx0?si=b998d7a506ef4c0a,Public 4,0.019943518,0.563906667,0.898,0.259,0.0519587,0.594613333,0.945,0.11,12.45945946,5.4,11,0,11.65953374,-8.17056,0.829,-19.885,0.21009009,0.706666667,1,0,0.002030649,0.055273333,0.293,0.0265,0.087003736,0.159274348,0.928,0,0.016585146,0.169970667,0.596,0.0504,0.068611094,0.450388,0.964,0.0728,1019.227569,119.09804,192.123,47.971,3562520087,216063.5333,376520,59027,0.065945946,3.96,5,3
All New Indie,https://open.spotify.com/playlist/37i9dQZF1DXdbXrPNafg9d?si=f770566661ff4d3b,Public 4,0.01293803,0.58769697,0.842,0.327,0.0391132,0.596351515,0.935,0.0738,12.36075036,5.191919192,11,0,8.743381792,-8.229323232,0.829,-16.064,0.233766234,0.636363636,1,0,0.002706711,0.057951515,0.336,0.0248,0.058738002,0.131315558,0.942,0,0.02258419,0.188508081,0.895,0.0487,0.054595893,0.480382828,0.966,0.0725,700.5179259,120.2714747,192.685,72.516,2844512585,211605.6465,451987,75294,0.019995877,3.97979798,4,3
New Noise,https://open.spotify.com/playlist/37i9dQZF1DWT2jS7NwYPVI?si=088c952cf12b4c0d,Public 4,0.013709611,0.48684,0.754,0.195,0.016708466,0.81072,0.982,0.339,13.33777778,5.34,11,0,2.359380856,-4.98275,-1.247,-9.796,0.237979798,0.62,1,0,0.002963831,0.074955,0.342,0.0262,0.025606348,0.056262486,0.785,0,0.023660203,0.21215,0.858,0.0369,0.031156764,0.490838,0.855,0.0647,1197.286253,134.59166,196.062,72.028,1475766952,188478.72,310381,96414,0.03020202,3.99,5,3
The New Alt,https://open.spotify.com/playlist/37i9dQZF1DX82GYcclJ3Ug?si=ca5e4d6ec66b4c28,Public 4,0.016733527,0.55178,0.96,0.212,0.017599192,0.77214,0.987,0.398,12.99585859,5.21,11,0,2.960810974,-5.21334,0.829,-11.43,0.237979798,0.62,1,0,0.001717801,0.060822,0.234,0.0251,0.016203701,0.040411741,0.785,0,0.029203071,0.19848,0.911,0.0328,0.045676036,0.528777,0.95,0.0647,884.7576209,126.66906,176.099,75.013,2177880582,199343.88,443853,129120,0.117575758,3.94,4,1
Hot Country,https://open.spotify.com/playlist/37i9dQZF1DX1lVhptIYRda?si=bc406441a9fe468f,Public 5,0.01188392,0.57372,0.796,0.342,0.02566734,0.68792,0.931,0.192,13.39959184,5.22,11,0,3.189032039,-5.75104,-3.139,-12.151,0.039183673,0.96,1,0,0.00018118,0.037142,0.1,0.0247,6.44E-07,0.000144669,0.00549,0,0.00999468,0.163018,0.605,0.0624,0.040301155,0.53178,0.965,0.103,945.0241207,125.6544,201.81,77.063,632133400.9,195305.54,277660,151973,0.115918367,3.92,5,3
New Boots,https://open.spotify.com/playlist/37i9dQZF1DX8S0uQvJ4gaa?si=6b6ee96f54104f74,Public 5,0.006823293,0.560050505,0.758,0.322,0.026435993,0.712808081,0.97,0.16,11.23830138,4.919191919,11,0,2.382000157,-5.267383838,-2.073,-11.204,0.115233972,0.868686869,1,0,0.000573905,0.041955556,0.218,0.025,8.73E-08,5.99E-05,0.00267,0,0.015785622,0.161012121,0.951,0.0397,0.039122014,0.518191919,0.961,0.093,986.9003454,120.9185859,201.831,70.36,421009577.3,188313.5354,238177,133629,0.04844362,3.949494949,4,3
90s Country,https://open.spotify.com/playlist/37i9dQZF1DWVpjAJGB70vU?si=44c5f3860c0341f4,Public 5,0.010474413,0.63197,0.856,0.297,0.030687532,0.66327,0.982,0.143,9.85969697,5.67,11,0,5.631080365,-8.13872,-2.696,-14.838,0.056969697,0.94,1,0,0.000158934,0.035624,0.103,0.0245,8.06E-05,0.001033681,0.0897,0,0.019461564,0.178981,0.948,0.0281,0.058092676,0.668696,0.975,0.0486,718.9459521,129.08968,192.309,73.656,1353621768,210923.3,315973,133853,0.029393939,3.97,4,3
Chillin' on a Dirt Road,https://open.spotify.com/playlist/37i9dQZF1DWTkxQvqMy4WW?si=a0c8efccb1ed473a,Public 5,0.010220499,0.5865875,0.801,0.333,0.025381918,0.685575,0.931,0.225,11.24303797,6.15,11,0,3.034707043,-5.6080875,-2.183,-10.888,0.036550633,0.9625,1,0,0.000488757,0.04008875,0.191,0.0241,2.33E-06,0.000337375,0.0096,0,0.012575476,0.16737125,0.63,0.026,0.034269972,0.58245,0.946,0.137,1168.987074,115.2836375,203.803,48.718,969696942.1,208676.1375,300333,161853,0.048101266,3.95,4,3
Country's Greatest Hits,https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR?si=01f15c57fba94aed,Public 5,0.012714876,0.59315,0.858,0.259,0.037707002,0.573048,0.961,0.0568,11.28676768,5.19,11,0,12.94370028,-8.78789,-2.969,-20.508,0.029393939,0.97,1,0,0.000293175,0.038357,0.141,0.0233,1.84E-06,0.000410537,0.00897,0,0.020376646,0.168138,0.948,0.0351,0.048922976,0.58571,0.969,0.135,987.8702664,123.21218,204.016,70.554,1519923186,210186.09,323040,123133,0.090909091,3.9,4,3
RapCaviar,https://open.spotify.com/playlist/37i9dQZF1DX0XUsuxWHRQd?si=139bd52159d640d2,Public 6,0.012695187,0.76642,0.951,0.486,0.011789593,0.61472,0.878,0.42,14.48979592,5.4,11,0,4.19573507,-6.69146,-2.565,-12.248,0.251428571,0.44,1,0,0.015815049,0.230008,0.545,0.0336,0.013636317,0.016927815,0.826,0,0.013774396,0.193114,0.505,0.0475,0.049016868,0.45086,0.923,0.0385,699.0443718,135.02248,179.49,76.007,1686562776,176156.9,283196,83200,0.02,3.98,4,3
Feelin' Myself,https://open.spotify.com/playlist/37i9dQZF1DX6GwdWRQMQpq?si=29ea6340301343c4,Public 6,0.007780849,0.85526,0.982,0.557,0.012159061,0.6768,0.874,0.451,16.09142857,5.48,11,0,3.315807394,-5.95356,-2.353,-11.013,0.222040816,0.68,1,0,0.009198921,0.248904,0.426,0.0793,0.000102052,0.001856602,0.0702,0,0.015288704,0.155902,0.587,0.0416,0.030560458,0.63246,0.94,0.291,562.5346421,134.36998,178.339,84.952,1236974742,170006.58,247763,104819,0.02,3.98,4,3
Most Necessary,https://open.spotify.com/playlist/37i9dQZF1DX2RxBh64BHjQ?si=325ba5adc2fd47f1,Public 6,0.014946471,0.74729,0.977,0.32,0.020283959,0.60902,0.868,0.24,14.87868687,4.99,11,0,6.653844492,-7.23675,-2.605,-14.923,0.251616162,0.53,1,0,0.013248058,0.26041,0.493,0.0349,7.18E-05,0.00102769,0.0831,0,0.008468092,0.158221,0.444,0.0475,0.043325052,0.47128,0.948,0.041,782.5517619,131.54154,200.107,73.596,1808390522,163217.39,390862,86808,0.150606061,3.97,5,1
I Love My '90s Hip-Hop,https://open.spotify.com/playlist/37i9dQZF1DX186v583rmzp?si=8078d5b7314446bd,Public 6,0.009908244,0.77991,0.939,0.479,0.020000636,0.6647,0.95,0.29,14.79353535,6.12,11,0,9.082487788,-7.48051,-1.299,-17.117,0.252121212,0.48,1,0,0.010940377,0.246014,0.499,0.0357,0.001811243,0.009393217,0.276,0,0.033882686,0.233348,0.876,0.0289,0.033925425,0.63864,0.942,0.193,541.7690692,101.39203,206.247,74.038,2157808812,252589.77,391693,134040,0.01,3.99,4,3
Are & Be,https://open.spotify.com/playlist/37i9dQZF1DX4SBhb3fqCJd?si=70ed0d2d28744cce,Public 6,0.026533198,0.639039216,0.914,0.198,0.029255694,0.551470588,0.892,0.142,10.51843137,4.960784314,11,0,6.208135815,-7.353509804,-3.678,-15.498,0.219607843,0.31372549,1,0,0.006820861,0.114088235,0.403,0.0315,0.002867299,0.009118002,0.382,0,0.010010556,0.151931373,0.575,0.0618,0.043206834,0.462254902,0.857,0.1,707.2814045,117.5163529,177.115,63.112,1091735785,198420.6667,301082,146840,0.210196078,3.901960784,4,1
teen beats,https://open.spotify.com/playlist/37i9dQZF1DWWvvyNmW9V9a?si=5982ee49e8844111,Public A,0.017705286,0.61292,0.952,0.228,0.034875237,0.61757,0.965,0.109,10.60717172,4.83,11,0,8.519548241,-7.07696,-1.948,-15.854,0.242424242,0.6,1,0,0.005812579,0.0762,0.445,0.0254,0.01222165,0.025616029,0.804,0,0.025570457,0.209333,0.741,0.046,0.043960569,0.45042,0.964,0.101,811.8924393,128.51109,202.899,79.846,1895505485,187091.96,326491,99283,0.159494949,3.89,4,1
Country Christmas,https://open.spotify.com/playlist/37i9dQZF1DX0MuOvUqmxDz?si=33997da261134ed4,Public A,0.024797487,0.54226,0.738,0.16,0.043416996,0.57479,0.972,0.077,11.21252525,5.14,11,0,4.627409493,-6.69268,-2.002,-13.112,0.098888889,0.89,1,0,0.000241698,0.038059,0.111,0.0234,1.34E-06,0.000180054,0.0112,0,0.007508574,0.165253,0.455,0.0542,0.050647192,0.529666,0.917,0.0796,1210.182056,125.599,207.97,67.343,1523470813,193966.06,307440,117624,0.213737374,3.78,5,3
Retro Pop,https://open.spotify.com/playlist/37i9dQZF1DXcTieYAg7jq1?si=c8e26ae6723641ab,Public B,0.019962936,0.62544,0.939,0.285,0.03003309,0.592094,0.942,0.0894,12.25252525,5.3,11,0,5.897461746,-6.99746,-2.229,-16.046,0.194343434,0.74,1,0,0.003757672,0.06511,0.41,0.0253,0.016540048,0.034722235,0.848,0,0.015717334,0.168369,0.716,0.029,0.051721022,0.59622,0.971,0.122,1049.456191,116.82454,199.053,67.055,2134526760,208755.74,406187,134256,0.098888889,3.89,4,3
Happy Drive,https://open.spotify.com/playlist/37i9dQZF1DX1WSnLRtI26o?si=9f1f76dddf0f4267,Public B,0.011302693,0.68744,0.871,0.352,0.014744837,0.73597,0.974,0.327,14.48242424,4.68,11,0,2.092257361,-5.10165,-2.261,-9.074,0.242424242,0.6,1,0,0.005288483,0.076658,0.463,0.0276,0.000952663,0.004604619,0.285,0,0.013317196,0.150416,0.694,0.0219,0.037692854,0.62929,0.969,0.121,549.1507219,114.99712,184.086,74.989,998871885,207941.61,347520,139672,0.03020202,4.01,5,3
Pop Sauce,https://open.spotify.com/playlist/37i9dQZF1DXaPCIWxzZwR1?si=2005896c93a24450,Public A,0.015098364,0.6328,0.876,0.247,0.031257907,0.60845,0.957,0.174,13.68686869,5.1,11,0,5.961209406,-6.47222,-2.141,-15.64,0.24030303,0.61,1,0,0.005680291,0.075766,0.434,0.0245,0.000396285,0.004220365,0.162,0,0.015034017,0.182408,0.616,0.0671,0.057492258,0.487919,0.964,0.0969,896.2600498,126.22936,202.899,74.881,987198133.3,172654.03,281381,117727,0.047979798,3.95,4,3
night pop,https://open.spotify.com/playlist/37i9dQZF1DXbcP8BbYEQaO?si=2e2a9e37577e4dc9,Public B,0.019301628,0.61244,0.857,0.269,0.014462441,0.716066667,0.939,0.366,10.95567568,5.52,11,0,3.563797059,-6.109426667,0.829,-11.496,0.220540541,0.32,1,0,0.002805111,0.065058667,0.294,0.0273,0.013573477,0.029478257,0.818,0,0.021073473,0.181208,0.749,0.0594,0.054455178,0.505933333,0.947,0.0675,592.1140812,126.6987333,191.755,69.98,1731658900,197359.5733,344580,124959,0.026306306,3.973333333,4,3
Sad Piano,https://open.spotify.com/playlist/37i9dQZF1DX9YGSllK2cJ4?si=c3c90ca647e04879,Public B,0.011544996,0.41688,0.763,0.167,0.001821426,0.0429177,0.234,0.00186,11.27787879,5.07,11,0,13.16048109,-27.60591,-17.525,-39.755,0.252121212,0.48,1,0,0.00013179,0.044811,0.0834,0.0304,0.000805435,0.92917,0.98,0.836,0.000186156,0.106261,0.163,0.0699,0.016684131,0.222311,0.593,0.0393,717.2166852,95.54846,172.793,47.745,1289758769,157847.8,291912,74672,0.595858586,3.51,5,1
Rap Mix,https://open.spotify.com/playlist/37i9dQZF1EIgbjUtLiWmHt?si=a9fb4bd41f8a4fd7,Public A,0.010231535,0.77966,0.963,0.516,0.020685265,0.649,0.954,0.346,13.35346939,5.56,11,0,4.595257465,-5.94638,-1.19,-10.491,0.255102041,0.5,1,0,0.016575643,0.22657,0.615,0.0413,1.07E-06,0.000195515,0.00713,0,0.015157318,0.178784,0.65,0.0534,0.047430059,0.446032,0.844,0.0596,1122.415267,126.5087,202.015,74.236,2916766495,229111.64,343150,131240,0.060816327,3.98,5,3
Life Sucks,https://open.spotify.com/playlist/37i9dQZF1DX3YSRoSdA634?si=c6a5a789bcb24421,Public B,0.019914172,0.53449,0.797,0.188,0.033753112,0.414659,0.834,0.0485,12.3559596,4.74,11,0,12.05204981,-8.77236,-3.738,-23.023,0.203636364,0.72,1,0,0.005685664,0.062692,0.611,0.0263,0.006254216,0.015624053,0.657,0,0.014731643,0.153995,0.702,0.0543,0.025070622,0.305771,0.729,0.0397,830.2194185,115.82549,187.376,66.165,3338902514,233326.04,613027,135878,0.147070707,3.88,5,3
Christmas Pop,https://open.spotify.com/playlist/37i9dQZF1DX0A8zVl7p82B?si=389379a0c6014f98,Public A,0.018056604,0.559266667,0.774,0.201,0.046427815,0.611905333,0.939,0.0919,13.5827027,4.72,11,0,7.3151079,-6.617453333,-1.866,-14.901,0.126846847,0.853333333,1,0,0.00134523,0.053837333,0.202,0.0237,1.55E-05,0.000506335,0.034,0,0.030384661,0.221270667,0.881,0.0475,0.047103246,0.547413333,0.962,0.134,1172.825369,122.1230133,202.936,64.879,1696467774,194435.48,273395,118395,0.258738739,3.773333333,4,1
Classic Oldies,https://open.spotify.com/playlist/37i9dQZF1DX56bqlsMxJYR?si=4bf02b71ad9d436a,Public D,0.021632562,0.55294,0.862,0.192,0.043734486,0.49272,0.939,0.105,10.11959596,5.04,11,0,12.43907905,-10.56596,-4.729,-21.976,0.189393939,0.75,1,0,0.001726729,0.053172,0.246,0.0249,0.000642438,0.005192587,0.218,0,0.015310965,0.173667,0.628,0.0393,0.054863509,0.65081,0.969,0.068,773.6219487,120.7914,207.356,63.05,1239978355,173626.92,369600,111536,0.102929293,3.91,5,3
Best Indie Songs of 2022,https://open.spotify.com/playlist/37i9dQZF1DX0lyZ45Ayi9S?si=520b7f461a014063,Public C,0.018775534,0.60892,0.942,0.228,0.027861605,0.666173333,0.928,0.299,12.92792793,4.866666667,11,0,4.802781963,-7.12636,-2.523,-11.706,0.162162162,0.8,1,0,0.001360341,0.050296,0.227,0.0248,0.070861105,0.154772341,0.84,0,0.021732651,0.177404,0.787,0.0446,0.051768883,0.500329333,0.964,0.0494,842.839259,124.63788,220.024,72.062,2945297422,207708.4667,376520,90127,0.026306306,3.973333333,4,3
Best Indie Songs of 2021,https://open.spotify.com/playlist/37i9dQZF1DWW06b4n9Ho9J?si=711916200d054009,Public C,0.01766317,0.63711,0.887,0.318,0.031432398,0.60916,0.955,0.266,12.29040404,5.75,11,0,5.077595642,-8.08507,-3.206,-13.758,0.226666667,0.66,1,0,0.004076902,0.067426,0.323,0.0232,0.067669125,0.157074633,0.938,0,0.022473439,0.183891,0.955,0.0415,0.052443665,0.547727,0.938,0.0605,868.0543259,120.50615,185.837,75.036,3617782831,214047.66,515865,98544,0.117575758,3.94,4,1
Dad Rock,https://open.spotify.com/playlist/37i9dQZF1DX09NvEVpeM77?si=9bbfb2c4da4e486e,Public D,0.020570978,0.57096,0.858,0.27,0.031641351,0.69458,0.96,0.378,10.57795918,5.44,11,0,13.22964434,-9.10132,-3.648,-17.34,0.163265306,0.8,1,0,0.000380151,0.04726,0.122,0.0253,0.01391698,0.030421973,0.779,0,0.01280925,0.14526,0.461,0.0453,0.031627982,0.73324,0.985,0.285,508.5145775,123.17738,178.946,78.111,7169970731,260435.9,536227,141600,0.18,3.94,4,1
Black & White Film,https://open.spotify.com/playlist/37i9dQZF1DWWiYmf13kBNz?si=2573b10d14af48c4,Public D,0.013908204,0.4428,0.684,0.203,0.027752376,0.2400712,0.682,0.00756,10.62693878,4.84,11,0,24.43798121,-13.96376,-5.848,-26.44,0.175102041,0.78,1,0,6.32E-05,0.03571,0.0683,0.0244,0.017384057,0.021692215,0.93,0,0.006166864,0.162308,0.385,0.0753,0.032838787,0.38578,0.768,0.109,912.3442997,107.79144,182.665,62.588,1383940434,176656,280000,116627,0.28122449,3.62,5,3
study mode,https://open.spotify.com/playlist/37i9dQZF1DWSSrwtip3vZP?si=4ffbb86e7c414abe,Public C,0.014708147,0.523585366,0.83,0.274,0.017687082,0.451170732,0.774,0.152,13.16651611,5.512195122,11,0,4.108935114,-8.514853659,-5.177,-14.463,0.06865402,0.926829268,1,0,0.007617589,0.066218293,0.611,0.0244,0.008044642,0.011630327,0.804,0,0.005772258,0.132791463,0.365,0.0324,0.020017305,0.309008537,0.679,0.0777,958.2261712,121.8134146,185.544,66.165,1037920962,195999.4756,326491,136480,0.176001204,3.817073171,5,3
The 2000s Indie Scene,https://open.spotify.com/playlist/37i9dQZF1DX9LbdoYID5v7?si=2ab3bb0d35d74c65,Public C,0.017365967,0.573373333,0.9,0.237,0.029051811,0.712,0.965,0.253,10.92792793,4.533333333,11,0,7.310011242,-6.57212,-2.306,-15.259,0.225225225,0.666666667,1,0,0.000778135,0.043372,0.222,0.0253,0.05875423,0.113642061,0.925,0,0.021313542,0.183526667,0.779,0.04,0.051292375,0.534782667,0.973,0.0827,617.1690595,124.3009867,175.349,73.396,3608294264,231667.2267,536471,127920,0.038918919,3.96,4,3
Stranger Things Official Playlist,https://open.spotify.com/playlist/37i9dQZF1DXc3KPAjGyPdm?si=14ec413f6c4c4729,Public D,0.035880106,0.527309,0.907,0.0655,0.078072328,0.532616,0.991,0.013,11.56808081,4.74,11,0,35.41246094,-12.0885,-1.702,-27.743,0.178888889,0.77,1,0,0.009262468,0.074378,0.599,0.0251,0.151565141,0.31720153,0.977,0,0.01479728,0.177249,0.571,0.0422,0.103471137,0.529425,1,0.0285,1020.553853,125.00445,200.381,66.915,12573131573,215280.69,738000,27040,0.19989899,3.89,5,1
Alternative 10s,https://open.spotify.com/playlist/37i9dQZF1DX873GaRGUmPl?si=4bdc8d4fdda34404,Public D,0.018076241,0.58675,0.885,0.262,0.03879557,0.627315,0.936,0.0854,11.65806962,5.6125,11,0,9.833467225,-7.347875,-0.783,-21.04,0.245411392,0.5875,1,0,0.004554753,0.0572025,0.567,0.0238,0.030834508,0.060287477,0.914,0,0.016999646,0.17541,0.791,0.0618,0.052792556,0.47093375,0.965,0.0631,955.9109873,122.4315625,210.164,77.021,5703808846,239519.0375,592920,141040,0.036550633,3.9625,4,3
All New Indie,https://open.spotify.com/playlist/37i9dQZF1DXdbXrPNafg9d?si=36cbebca72a041ce,Public C,0.015286775,0.59785,0.868,0.253,0.040428068,0.592188,0.953,0.0738,12.57939394,5.08,11,0,8.980136351,-8.14825,0.829,-16.064,0.216060606,0.69,1,0,0.003718416,0.061621,0.336,0.0248,0.068364959,0.158221007,0.945,0,0.028043483,0.191345,0.895,0.0487,0.056266963,0.48087,0.964,0.076,767.9443031,123.43566,180.049,59.989,3613173017,201299.67,572217,75294,0.038787879,3.96,4,3
90s Ballads,https://open.spotify.com/playlist/37i9dQZF1DX7L1VcqQ1quZ?si=c53fef89e9284cf8,Public E,0.012120393,0.51012,0.693,0.231,0.017715301,0.442548,0.715,0.0744,12.85755102,5.14,11,0,5.751928602,-9.48736,-5.163,-16.728,0.163265306,0.8,1,0,3.36E-05,0.031596,0.0553,0.0233,2.18E-05,0.000960231,0.0248,0,0.003290222,0.117834,0.306,0.0426,0.02977691,0.27874,0.816,0.0382,791.8405503,123.68444,177.508,67.531,2389329424,283781.42,456867,212200,0.466938776,3.68,4,1
Country Rock Classics,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=49d3abfb3ce44022,Public F,0.008192571,0.5674,0.774,0.339,0.024085959,0.5602,0.863,0.247,10.21428571,6.3,11,0,10.05094549,-10.81976,-5.192,-21.657,0.05755102,0.94,1,0,0.000107105,0.03455,0.0779,0.0239,0.008130272,0.022859536,0.524,0,0.023630468,0.195012,0.764,0.0413,0.035658167,0.69542,0.968,0.181,614.9681538,118.20506,166.444,74.409,4738328695,226367.58,444053,124867,0.02,3.98,4,3
Happy Days,https://open.spotify.com/playlist/37i9dQZF1DX84kJlLdo9vT?si=093d8cde4a094250,Public E,0.013114449,0.59986,0.807,0.251,0.028719313,0.58444,0.871,0.127,11.90040816,4.24,11,0,7.332316596,-9.20834,-2.685,-16.066,0.122857143,0.86,1,0,0.000458755,0.043382,0.128,0.0274,2.21E-05,0.001002318,0.0327,0,0.033658359,0.209156,0.814,0.0393,0.024215577,0.76288,0.98,0.394,652.5931641,123.77292,205.981,63.05,765340217.8,168814.14,244027,119800,0.02,3.98,4,3
Rock Road Trip,https://open.spotify.com/playlist/37i9dQZF1DWSFCN8nsm6zC?si=aae58de264fe4db3,Public F,0.021789272,0.506657143,0.92,0.167,0.020432063,0.809628571,0.988,0.423,13.22153209,5.285714286,11,0,3.353399956,-5.446985714,-1.574,-10.231,0.186542443,0.757142857,1,0,0.001949759,0.061191429,0.246,0.0276,0.043219761,0.091060411,0.862,0,0.023206516,0.194314286,0.941,0.0263,0.040774884,0.581585714,0.974,0.124,838.4105282,133.6183857,199.866,79.898,3120393904,226622.4714,462267,110093,0.02815735,3.971428571,4,3
Free & Easy,https://open.spotify.com/playlist/37i9dQZF1DX6fhMYWIyuww?si=d5a040bf0a0b4054,Public F,0.015846278,0.646525,0.952,0.346,0.024676914,0.55615,0.91,0.18,9.37721519,4.2,11,0,10.6600484,-11.333725,-5.009,-18.835,0.183386076,0.7625,1,0,0.000154744,0.0377475,0.112,0.0253,0.000460397,0.006502789,0.115,0,0.013519777,0.146275,0.646,0.0313,0.028165301,0.716875,0.985,0.322,526.6635515,119.566775,203.105,75.63,2589430615,240667.8,403040,164440,0.0125,3.9875,4,3
70s Ballads,https://open.spotify.com/playlist/37i9dQZF1DWXrcZh4Kf8Qx?si=8be3cc16d50f493c,Public E,0.018041656,0.46376,0.736,0.149,0.014171847,0.3503,0.602,0.085,9.89755102,5.98,11,0,10.87298825,-12.17752,-6.128,-22.32,0.150612245,0.82,1,0,0.000154685,0.034488,0.0959,0.024,0.017653017,0.038610516,0.832,0,0.026857601,0.186008,0.725,0.0559,0.025231755,0.3632,0.897,0.092,1050.296166,116.99308,200.813,60.3,3061900376,238040.76,430000,143333,0.150612245,3.82,4,3
