playlist_name,playlist_link,user,danceability_var,danceability_mean,danceability_max,danceability_min,energy_var,energy_mean,energy_max,energy_min,key_var,key_mean,key_max,key_min,loudness_var,loudness_mean,loudness_max,loudness_min,mode_var,mode_mean,mode_max,mode_min,speechiness_var,speechiness_mean,speechiness_max,speechiness_min,instrumentalness_var,instrumentalness_mean,instrumentalness_max,instrumentalness_min,liveness_var,liveness_mean,liveness_max,liveness_min,valence_var,valence_mean,valence_max,valence_min,tempo_var,tempo_mean,tempo_max,tempo_min,duration_ms_var,duration_ms_mean,duration_ms_max,duration_ms_min,time_signature_var,time_signature_mean,time_signature_max,time_signature_min
Essential Folk,https://open.spotify.com/playlist/37i9dQZF1DWVmps5U8gHNv?si=ffd58b33c5254643,Public 18,0.012748935,0.51729,0.794,0.149,0.027379534,0.328675,0.797,0.0109,11.9130303,4.81,11,0,17.25504091,-13.97189,-5.316,-29.496,0.114242424,0.87,1,0,0.000287608,0.040945,0.133,0.0253,0.018900121,0.040205396,0.815,0,0.028699417,0.186182,0.86,0.0533,0.04029784,0.512942,0.97,0.0445,1093.095594,117.36898,206.431,58.686,4219359341,224442.99,489107,114773,0.119090909,3.89,5,3
Dance Classics,https://open.spotify.com/playlist/37i9dQZF1DX8a1tdzq5tbM?si=cd14d9e7b5034843,Public 17,0.012141408,0.66331,0.956,0.265,0.014812645,0.80696,0.982,0.456,13.35919192,5.88,11,0,5.539077334,-6.82667,-3.124,-14.376,0.242424242,0.4,1,0,0.002984425,0.062912,0.375,0.0252,0.123402522,0.267343646,0.939,0,0.038028463,0.227238,0.925,0.0392,0.050435697,0.485949,0.965,0.0581,32.74718452,129.31904,142.025,103.211,8178654983,251426.31,581227,151621,0.01979798,3.98,4,3
’80s Jam Session,https://open.spotify.com/playlist/37i9dQZF1DX0H8hDpv38Ju?si=ce103efc9e5147bf,Public 18,0.007021721,0.76365,0.897,0.521,0.024157563,0.674025,0.922,0.36,13.43525641,6.725,11,0,8.649008962,-10.14675,-3.927,-16.705,0.250641026,0.575,1,0,0.000655333,0.0584325,0.129,0.0264,0.006801284,0.025057945,0.429,0,0.021043589,0.14978,0.632,0.027,0.013791618,0.81385,0.969,0.483,268.5444846,117.21595,174.513,92.093,4084970538,297137.25,543560,211680,0,4,4,4
K-Pop Generations,https://open.spotify.com/playlist/37i9dQZF1DX14fiWYoe7Oh?si=7b641f0d3e8a4bda,Public 11,0.006151105,0.73616,0.901,0.554,0.013972048,0.83418,0.995,0.431,14.44636364,5.41,11,0,3.155918323,-4.3366,-1.258,-9.063,0.250909091,0.54,1,0,0.00391712,0.078274,0.328,0.0287,8.60E-05,0.002237313,0.0697,0,0.028469094,0.207109,0.93,0.0265,0.032843045,0.70816,0.97,0.181,452.3931166,117.90527,196.565,80.002,702443957.6,223408.55,282493,99686,0.01,3.99,4,3
Warm Fuzzy Feeling,https://open.spotify.com/playlist/37i9dQZF1DX5IDTimEWoTd?si=de23c7021a66425d,Public 17,0.022316977,0.53535,0.868,0.188,0.022945345,0.391831,0.771,0.04,11.64151515,5.07,11,0,10.64138562,-9.06842,-2.958,-19.067,0.074343434,0.92,1,0,0.000696048,0.044547,0.17,0.0243,0.003269319,0.013330546,0.465,0,0.013749145,0.15402,0.71,0.0248,0.024075657,0.360973,0.785,0.077,1078.09231,120.05271,202.899,50.827,1302432111,213318.99,309600,150174,0.162727273,3.83,5,3
Chill Pop,https://open.spotify.com/playlist/37i9dQZF1DX0MLFaUdXnjA?si=384ea65d30ac4c3e,Public 11,0.018877982,0.555133333,0.846,0.247,0.02382534,0.408773333,0.875,0.129,10.18486486,5.76,11,0,8.95266836,-9.435866667,-4.1,-20.149,0.153873874,0.813333333,1,0,0.002622012,0.052168,0.433,0.0245,0.016217634,0.028763387,0.804,0,0.01222486,0.167274667,0.702,0.0559,0.036061442,0.343445333,0.84,0.0524,921.0882794,118.3557867,187.56,67.721,1430098730,199829.44,326491,132631,0.171171171,3.866666667,5,3
Blues & Roots Rock,https://open.spotify.com/playlist/37i9dQZF1DWSKpvyAAcaNZ?si=f83dc3406f114a8a,Public 18,0.018567745,0.54155,0.858,0.219,0.036413375,0.662643,0.977,0.0813,13.44757576,5.13,11,0,5.854850674,-7.02482,-2.694,-15.406,0.24030303,0.61,1,0,0.001534993,0.059928,0.222,0.0232,0.020413593,0.041497688,0.915,0,0.022628229,0.199957,0.923,0.0398,0.045861734,0.55094,0.957,0.135,1178.086381,123.57562,200.179,64.976,5155741531,233852.02,674000,119975,0.065757576,3.93,4,3
The Pulse of Americana,https://open.spotify.com/playlist/37i9dQZF1DX3Fzl4v4w9Zp?si=4922f61d9c164d37,Public 17,0.01660325,0.56889,0.909,0.219,0.033426273,0.59201,0.946,0.166,11.3620202,6.54,11,0,5.51872027,-7.87345,-4.279,-16.217,0.161616162,0.8,1,0,0.000937582,0.043076,0.267,0.0252,0.015738055,0.035099609,0.941,0,0.019012424,0.17268,0.69,0.0507,0.052558642,0.538874,0.966,0.0594,831.0413554,119.44013,203.727,71.988,1829830122,228532.28,356090,151931,0.126363636,3.93,4,1
Lowkey,https://open.spotify.com/playlist/37i9dQZF1DX2yvmlOdMYzV?si=69e283ef8f124a10,Public 11,0.01808184,0.64809,0.932,0.302,0.021635824,0.45371,0.798,0.125,13.80363636,5.12,11,0,6.93169306,-9.30597,-3.417,-16.482,0.25,0.45,1,0,0.011303231,0.107449,0.587,0.0278,0.043707309,0.112154823,0.925,0,0.014949527,0.162412,0.645,0.0601,0.043211291,0.47332,0.972,0.1,1042.668174,116.45058,191.706,49.931,2107558312,208030.03,344681,71427,0.149090909,3.82,4,3
Party Hits 2010s,https://open.spotify.com/playlist/37i9dQZF1DWWylYLMvjuRG?si=2f572899319b4af2,Public 19,0.009688617,0.70936,0.88,0.4,0.013870616,0.75999,0.963,0.425,12.11353535,5.26,11,0,2.619495006,-5.13394,-2.652,-10.965,0.247575758,0.43,1,0,0.007251575,0.1008,0.461,0.0279,0.007140914,0.011986693,0.828,0,0.016874494,0.177674,0.694,0.029,0.037675202,0.60099,0.962,0.104,442.1642529,122.5608,202.015,65.043,779245180.9,213619.52,284867,131240,0.02020202,4,5,3
